"","long","lat","station","cmaq"
"380",-88.534,30.378,58.43,69.924
"381",-88.709,30.523,64.25,70.5057
"382",-88.731,32.364,60.13,60.6549
"383",-88.766,34.265,59.5,62.051
"384",-94.58,38.77,62.75,56.2093
"385",-94.037,37.696,53.75,58.057
"386",-94.283,39.417,48,49.4871
"387",-94.376,39.303,55.38,49.4154
"388",-94.581,39.332,54.38,48.3964
"389",-94.556,39.531,54.75,48.22
"390",-93.299,37.261,47.5,54.6281
"391",-90.361,38.438,55.5,58.8079
"392",-90.865,39.045,55.63,52.5374
"393",-91.789,39.473,48.75,51.5658
"394",-89.691,37.699,47,50.7915
"395",-94.7,39.3,52.75,48.4668
"396",-90.226,38.873,55.88,56.3051
"397",-90.447,38.902,55.75,54.5721
"398",-90.422,37.897,45.25,49.3175
"399",-90.383,38.533,53,58.5814
"400",-90.705,38.49,52.75,56.7333
"401",-90.496,38.614,48.88,56.8361
"402",-90.476,38.711,53.5,55.7458
"403",-90.198,38.656,55.5,58.8778
"404",-90.239,38.672,52.5,58.8778
"405",-95.948,41.208,51.63,50.8852
"406",-96.025,41.36,41.13,51.4581
"407",-95.96,41.306,46.75,51.5193
"408",-96.677,40.985,38.12,50.6039
"409",-71.496,43.565,32.62,41.3067
"410",-72.278,42.931,29.75,37.6048
"411",-71.302,44.278,39.5,43.4324
"412",-71.225,44.291,32,43.5659
"413",-71.392,45.051,27.37,41.5856
"414",-72.226,43.63,29.88,38.2077
"415",-71.468,43.001,29.63,35.2556
"416",-71.523,42.72,31.88,35.7339
"417",-71.879,42.862,34.63,38.3232
"418",-71.458,43.218,32.38,39.375
"419",-70.748,43.075,34.38,36.9319
"420",-70.714,43.047,36.13,36.9319
"421",-72.338,43.364,30.63,38.0703
"422",-74.03,40.9,24.5,38.4075
"423",-75.097,39.923,35,41.0233
"424",-74.857,39.674,38.38,46.5005
"425",-75.026,39.422,35.88,48.5788
"426",-75.218,39.799,36.25,42.7615
"427",-74.126,40.671,27.62,30.7346
"428",-74.81,40.517,31.62,43.9123
"429",-74.747,40.283,31.5,45.1413
"430",-74.426,40.473,29.38,43.3078
"431",-74.006,40.188,36.75,46.7062
"432",-74.677,40.787,29.5,42.1777
"433",-74.446,40.065,32.75,45.1431
"434",-74.258,41.052,23.63,39.6838
"435",-73.757,42.681,29.13,32.6586
"436",-73.881,40.866,27.38,32.0364
"437",-73.902,40.816,26.87,25.5039
"438",-79.319,42.499,43.63,49.3917
"439",-79.587,42.291,39.25,46.2175
"440",-76.802,42.111,32.75,42.3016
"441",-73.743,41.782,22.88,37.2278
"442",-78.771,42.993,37.63,41.5725
"443",-73.903,44.366,32.25,41.2296
"444",-73.859,44.393,34.62,41.2296
"445",-74.695,44.981,34.63,34.1551
"446",-74.516,43.45,35,39.0108
"447",-74.985,43.686,36.38,37.1908
"448",-75.973,44.087,35.38,36.6302
"449",-75.784,42.73,32.88,39.7841
"450",-77.548,43.146,34.5,39.4719
"451",-78.479,43.224,29.25,40.8564
"452",-75.719,43.3,27.75,37.878
"453",-76.059,43.052,34.63,36.6832
"454",-74.215,41.524,26.63,37.2251
"455",-76.463,43.284,35.25,39.5211
"456",-73.708,41.442,26,40.1795
"457",-73.848,40.784,25.88,25.5039
"458",-73.823,40.736,32.63,33.93
"459",-73.464,42.782,28.13,34.921
"460",-74.126,40.597,33.38,36.6376
"461",-73.649,43.012,27.62,35.1118
"462",-73.94,42.8,25.25,33.9158
"463",-73.419,40.746,7.13,43.6705
"464",-72.713,40.961,31.75,42.0806
"465",-73.057,40.827,33.38,44.8293
"466",-74.494,42.144,28.5,37.8911
"467",-77.174,43.231,30.5,41.051
"468",-73.764,41.052,29.75,40.8583
"469",-81.19,35.929,54.75,56.0323
"470",-81.934,35.972,58.88,58.3028
"471",-82.6,35.5,51,55.776
"472",-81.53,35.936,54,55.6821
"473",-79.467,36.307,52.5,60.774
"474",-79.16,35.757,53.25,55.8238
"475",-78.728,35.159,56.38,55.5834
"476",-78.963,34.969,56.63,54.2772
"477",-80.559,35.809,61.88,57.7404
"478",-77.583,35.988,56,59.5502
"479",-80.227,36.111,52.12,60.5315
"480",-80.216,36.203,54.38,60.3811
"481",-80.342,36.026,55.38,57.862
"482",-80.144,36.051,57.63,61.7331
"483",-78.464,36.096,56.88,59.8228
"484",-83.796,35.258,57.29,53.4476
"485",-78.768,36.141,61.88,60.0455
"486",-79.704,36.113,56.75,63.0211
"487",-79.801,36.109,59.25,62.3778
"488",-82.965,35.505,55.25,54.5228
"489",-82.793,35.379,56.57,56.2296
"490",-83.077,35.59,56.71,55.3746
"491",-78.462,35.591,54.63,54.2204
"492",-77.569,35.231,62,56.5468
"493",-81.277,35.439,52,51.989
"494",-76.898,35.811,60.12,60.0645
"495",-80.786,35.24,51.38,53.31
"496",-80.92,35.113,47,49.6452
"497",-80.694,35.349,54.63,56.0756
"498",-77.839,34.364,56.5,57.539
"499",-79.092,36.307,57.13,59.7281
"500",-77.599,35.583,58.5,54.6126
"501",-79.859,36.309,54.38,61.3369
"502",-80.395,35.552,60.75,58.8495
"503",-80.668,35.534,60.25,57.6659
"504",-83.444,35.436,56.75,52.9293
"505",-80.541,34.974,51.25,49.9474
"506",-78.574,35.856,59.38,59.4046
"507",-78.793,35.597,56.62,54.3408
"508",-82.285,35.738,55.25,56.8877
"509",-96.855,46.934,43.63,49.2086
"510",-84.052,40.772,46.57,50.6043
"511",-80.573,41.959,39.12,49.2061
"512",-84.544,39.383,58.75,41.7067
"513",-84.393,39.53,57.5,43.4637
"514",-83.804,40.001,44.88,50.205
"515",-83.997,39.856,45.87,46.704
"516",-84.144,39.083,55,51.4226
"517",-83.789,39.43,53.5,57.5442
"518",-81.575,41.555,30.5,49.8397
"519",-81.865,41.362,42.38,56.6169
"520",-81.459,41.537,41.75,55.3731
"521",-83.064,40.357,48.88,54.8526
"522",-82.957,39.914,40.63,54.0026
"523",-82.816,40.087,54.75,54.1656
"524",-82.958,39.965,41.38,49.5211
"525",-82.96,40.088,41.12,53.6764
"526",-81.249,41.515,50,60.9388
"527",-83.943,39.666,47.5,52.1872
"528",-84.366,39.278,56.5,38.999
"529",-84.691,39.215,63,40.389
"530",-84.504,39.129,58,39.3553
"531",-80.615,40.366,55.75,62.6526
"532",-82.692,40.31,54,57.3706
"533",-81.423,41.673,39.13,51.6092
"534",-81.242,41.722,31.5,59.146
"535",-82.667,38.52,38.25,55.2397
"536",-82.457,38.629,32.25,58.1859
"537",-82.433,40.026,54.25,58.2102
"538",-82.096,41.421,42.5,53.1835
"539",-83.547,41.644,39.38,53.8887
"540",-83.719,41.495,49.25,55.3791
"541",-83.307,41.676,46.25,54.2583
